SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02000080,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.75,,,3.5,3.25,3.5,4.8,,2022
02000081,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,7,8,7.25,7.8,,2022
02000082,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6.5,8.75,4.5,9.4,,2022
02000083,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,5.5,7.75,6.5,9,,2022
02000084,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,5,7.75,8.25,7.8,,2022
02000085,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7,6.75,6,,,,7.6,6.75,2022
02000086,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,,,7.25,5,5.25,6.4,,2022
02000087,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5.75,,,8.5,5.5,3.25,8,,2022
02000088,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,7,5.75,4.75,7.8,,2022
02000089,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,7.25,7.25,4,9.4,,2022
02000090,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,5.75,7,3,8,,2022
02000091,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7,6,6.25,,,,7.2,6.75,2022
02000092,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,4.5,,,7.75,4.25,3.75,8.8,,2022
02000093,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.75,,,5,8.5,8.25,,,2022
02000094,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,7.75,7.75,,,,7.8,7.5,2022
02000095,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,8.25,6.75,5.5,8.4,,2022
02000096,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,6.5,6.75,3,8,,2022
02000097,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.25,,,7.75,5.5,4,8.8,,2022
02000098,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5,,,4,8,6,6.8,,2022
02000099,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,7.5,7,4.5,8,,2022
02000100,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.25,,,4.5,5.25,3.25,8.6,,2022
02000101,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,4.75,4.75,5.25,8.4,,2022
02000102,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,7.25,,,8.75,6.25,5.75,7,,2022
02000103,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,7.25,6.25,5.5,8.6,,2022
02000104,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,4.25,8.25,5,7.2,,2022
02000105,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8,8.75,7,,,,7.4,8.75,2022
02000106,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,7.25,8.75,6.25,8.4,,2022
02000107,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6,,,4.25,4.75,4,7,,2022
02000108,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,6.25,7,,,,9.2,8,2022
02000109,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,,,5,6,3.25,6.6,,2022
02000110,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.17,,,7.5,8.25,4.25,8.8,,2022
02000111,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6,7,7.25,,,,7.8,6.5,2022
02000112,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,5.75,6.75,,,,9,7.25,2022
02000113,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,6.5,4.75,2.75,9.2,,2022
02000114,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,2.25,4.25,3.5,7,,2022
02000115,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,6,5.5,,,,6,7.75,2022
02000116,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.5,6.75,7.25,,,,8.8,8.25,2022
02000117,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.4,6.75,,,8.5,9.25,5.75,6.4,,2022
02000118,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.25,,,5,5,4.25,7.2,,2022
02000119,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.25,8,7.25,,,,9.4,8.5,2022
02000120,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,8,,,8.5,7.5,6,9.8,,2022
02000121,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,6.5,7.25,,,,8,7.75,2022
02000122,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,7.5,7.5,,,,7.8,8,2022
02000123,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,6,4,5,6.4,,2022
02000124,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6,6.5,5.25,,,,7.4,7.75,2022
02000125,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,7.75,8.5,6,8,,2022
02000126,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5,,,7.5,6,4.5,8.6,,2022
02000127,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.75,,,8,6.5,4.25,7.8,,2022
02000128,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,4.75,,,6,4,3.5,8.8,,2022
02000129,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5.75,,,9.5,6.25,4.5,9.2,,2022
02000130,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,,,6.75,5.5,4.25,8.8,,2022
02000131,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,7.25,5.25,4,8,,2022
02000132,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,4.75,,,4.25,9.5,9.25,,,2022
02000133,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,7.25,7.25,,,,9.2,9.5,2022
