SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
02005005,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,6.5,9,8,,,2022
02005006,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.5,,,6.75,4.75,4.25,9.6,,2022
02005007,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,7.75,8,,,,9.8,8.25,2022
02005008,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8,,,9,8.5,8.5,8.8,,2022
02005009,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7,6.75,7,,,2022
02005010,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,,,5.5,8.25,8.5,,,2022
02005011,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,8,,,8.5,6,5.25,9.2,,2022
02005012,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,,,8.25,6,5,8.6,,2022
02005013,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,6.25,6,6,9,,2022
02005014,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,8.75,7.25,,,,9.2,8.75,2022
02005015,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7,,,8.5,8.5,3.5,10,,2022
02005016,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,6.25,4,4.25,,,2022
02005017,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,,,8,7,5.25,8.4,,2022
02005018,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6,,,7.25,5.5,5.25,8,,2022
02005019,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6,,,7.25,7,5.5,9.4,,2022
02005020,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7,,,7.25,7.5,3.75,8.6,,2022
02005021,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.75,,,7.25,9.25,7.5,9.8,,2022
02005022,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8,8.25,7,,,,9.2,8.75,2022
02005023,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,,,8,7.75,6.5,9.4,,2022
02005024,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.25,6.75,7.5,,,,9.4,7.75,2022
02005025,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,7.25,5.5,4,7.8,,2022
02005026,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.5,6.75,6.25,,,,8.8,8,2022
02005027,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,4.25,8,7.75,7,,2022
02005028,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,6.75,5.75,,,,8.2,8.75,2022
02005029,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,7.5,7.25,,,,9.4,7.75,2022
02005030,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,9,8,,,,,8.75,2022
02005031,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,7.25,9,8,,,2022
02005032,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7,7.75,7.25,,,,9.8,9,2022
02005033,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.5,,,4.75,8,4.75,,,2022
02005034,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,6.75,8.25,6.25,9.2,,2022
02005035,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,4.5,,,7,6.25,4.5,9.2,,2022
02005036,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.25,,,6.5,6,6.75,8.8,,2022
02005037,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,7.25,8.25,,,,,9.5,2022
02005038,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,5.75,,,5.5,8.25,4.25,9.2,,2022
02005039,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.5,7,8,,,,9.4,7.75,2022
02005040,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,8,8.75,9.5,,,2022
02005041,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,7.25,7.25,7.5,7.4,,2022
02005042,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,8.5,8.25,,,,9.8,9.25,2022
02005043,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.75,,,7,7.75,9,9.6,,2022
02005044,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.83,,,6.25,7.75,7.5,8.2,,2022
02005045,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,6,,,7.75,8.75,7.25,8,,2022
02005046,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,,,7.5,7.5,7.5,9.2,,2022
02005047,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,7.5,7.25,,,,8.6,9,2022
02005048,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,6.5,7.75,8,,,2022
02005049,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.75,8.25,7.5,,,,8.6,7.75,2022
02005050,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,,,6.25,9.25,4.25,8.2,,2022
02005051,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.25,7.5,6.5,,,,9.8,8.25,2022
02005052,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,6,,,8.25,9,5.5,8.8,,2022
02005053,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,7.75,7.75,5.25,,,2022
02005054,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8,6,7.75,,,,8.2,8.5,2022
02005055,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,8,7.75,,,,,8.5,2022
02005056,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.75,,,9,9.5,8.5,9.6,,2022
02005057,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,7,5,5.5,8.8,,2022
02005058,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.25,7.75,7,,,,7.6,8.75,2022
02005059,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,6.5,4.75,5.5,9.2,,2022
02005060,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8,5.75,5,,,,8,8,2022
02005061,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.5,9.25,9,,,,8.6,9.25,2022
02005062,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.5,,,7.75,8,7.5,9,,2022
02005063,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,5,8.75,7,,,,9.2,8,2022
02005064,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,8.25,7.5,,,,8.6,9.75,2022
02005065,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,,,7.25,8.5,4.75,8.4,,2022
02005066,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8.75,7.75,7.5,,,,9.4,9.25,2022
02005067,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,,,6.75,8.75,7.5,,,2022
02005068,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,4.25,,,6.5,3.75,3.5,8,,2022
02005069,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,4.83,,,7.75,8.75,3.5,9.4,,2022
02005070,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.5,,,8.25,7.75,5.75,8.6,,2022
02005071,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.25,7.75,8.75,,,,8.2,8,2022
02005072,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,5.25,7.5,6.25,10,,2022
02005073,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,6.5,6,,,,8.2,7.25,2022
02005074,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,8.75,7.75,,,,10,8,2022
02005075,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,6.5,8,,,,8.8,8.75,2022
02005076,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8,,,7.25,8.75,6.5,7.4,,2022
02005077,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.25,9,9,,,,10,9.5,2022
02005078,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,6.5,7.75,5.5,8.8,,2022
02005079,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.4,7.5,,,8.75,8.25,7.25,9.4,,2022
02005080,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6,,,5.5,8.75,9,,,2022
02005081,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,,,7,8.5,8.25,9,,2022
02005082,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.33,,,8,7.5,5.25,9.2,,2022
02005083,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6,,,8.5,8.75,6.75,8.8,,2022
02005084,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,7.25,8,6,9.6,,2022
02005085,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,,,8,8.5,6.5,8.6,,2022
02005086,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,7.75,6.5,,,,10,8,2022
02005087,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,7.25,7.5,8.25,9,,2022
02005088,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8,,,8.25,8.25,7.5,8.8,,2022
02005089,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,,,6.25,9.5,9,,,2022
02005090,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,8,8,,,,9.4,8.75,2022
02005091,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.25,7.25,,,,9.8,7.75,2022
02005092,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,6.5,8.25,5,,,2022
02005093,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,8,7,5.25,9.2,,2022
02005094,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,7.25,5,4.25,8.4,,2022
02005095,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,7.25,7,5.25,9.6,,2022
02005096,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,9.25,8,,,,8.8,8.25,2022
02005097,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,9,7,5.5,8.8,,2022
02005098,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,7.5,7.75,,,,7.8,8.25,2022
02005099,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,7.25,4.75,3.25,8.4,,2022
02005100,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5,,,7,7.75,5.25,8.2,,2022
02005101,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,4.75,,,7.75,8.25,5,8.4,,2022
02005102,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,5.5,8.5,7.75,9.4,,2022
02005103,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5,,,8.25,6.5,4.5,8.2,,2022
02005104,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,5.25,7.5,5.75,9.2,,2022
02005105,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,8.25,8.5,5.5,8.6,,2022
02005106,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,,,6.5,7,9,7.6,,2022
02005107,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,7.5,7,5.5,8,,2022
02005108,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.75,,,7.25,7,6,8.8,,2022
02005109,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.25,,,9.5,7,7.75,9.2,,2022
02005110,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,6.5,7.75,4.25,7.6,,2022
02005111,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,6.75,7.25,5.75,8.4,,2022
02005112,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,5.5,,,9.25,8.25,6.5,8.6,,2022
02005113,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.75,,,5.5,8.5,7.75,9,,2022
02005114,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.5,,,7,7.75,7.5,,,2022
02005115,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,6.25,,,8,9,3.75,8.8,,2022
02005116,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6,,,7.5,8.25,5.5,,,2022
02005117,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.75,,,6.5,6.75,5.5,9.6,,2022
02005118,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,8.25,8.25,4.25,8.2,,2022
02005119,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,7.75,8,4,7.8,,2022
02005120,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,8,,,7.75,8.25,6.5,9.6,,2022
02005121,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8,,,6.75,5.25,4.5,8.4,,2022
02005122,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.5,,,8,7.75,7.75,,,2022
02005123,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,5,7.25,6.5,9.4,,2022
02005124,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,4.5,8.25,7.75,7.4,,2022
02005125,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.25,6.25,7.25,,,,9,9.25,2022
02005126,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.75,,,8,8.25,5.25,8.4,,2022
02005127,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.5,,,7.25,8.5,8.25,,,2022
02005128,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,6.75,7.25,6,9,,2022
02005129,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.5,,,6.5,7.25,6,8.2,,2022
02005130,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,,,7.25,7.25,3.75,8.8,,2022
02005131,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,,,7.5,7,3.5,9.2,,2022
02005132,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,7,7.5,7.75,,,,8,7.75,2022
02005133,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,3.75,,,6.75,8,9,9.4,,2022
02005134,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.75,6.75,7.25,,,,7.8,9,2022
02005135,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.75,,,6.5,8.25,8,8.8,,2022
02005136,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,7.25,9,8.75,,,2022
02005137,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,2.75,6.75,6.25,8.4,,2022
02005138,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,8,7.75,,,,9.8,8.75,2022
02005139,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.5,,,5.75,8,7,9,,2022
02005140,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,,,7.75,8.25,5,9,,2022
02005141,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,4.5,,,7.25,6.5,5.25,,,2022
02005142,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.75,,,8,7.5,6.25,9.4,,2022
02005143,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6,,,6.5,6,5,9.2,,2022
02005144,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.5,,,9,5.75,3.5,7.8,,2022
02005145,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7,7.5,8.25,,,,8.4,8.5,2022
02005146,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.25,,,9.25,8.25,7,8.2,,2022
02005147,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,7.5,9,3,9,,2022
02005148,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,7.75,,,8,7.75,7,,,2022
02005149,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8,,,6.75,8.5,7,9.8,,2022
02005150,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6,,,6,7.25,7.5,8.4,,2022
02005151,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.4,8.25,,,8.25,9.25,9.5,8.2,,2022
02005152,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.5,,,5,5,4.25,8.6,,2022
02005153,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,7.75,7.75,,,,9.4,8.75,2022
02005154,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,,,8,8.25,5.5,8,,2022
02005155,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,,,7.5,8.25,6.25,8.6,,2022
02005156,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,6.5,7.5,,,,10,7.5,2022
02005157,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.75,8.5,7.25,,,2022
02005158,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,7,6.75,,,,7.6,8.75,2022
02005159,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7,,,3.25,9,8.5,5.6,,2022
02005160,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,7.75,,,9,8.75,5.5,9.6,,2022
02005161,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8,8,8.5,,,,8.2,8.75,2022
02005162,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,8.75,7.25,,,,8.6,8.5,2022
02005163,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,,,8.5,6.25,5.5,7.6,,2022
02005164,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,7.25,7.25,5.5,8.2,,2022
02005165,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,7,7.5,7,9.6,,2022
02005166,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,8.5,6,,,,9.2,8,2022
02005167,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5,,,5.25,7.25,5,7,,2022
02005168,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7,,,8,8,8.75,9.2,,2022
02005169,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,7.5,7.75,,,,8.4,8.25,2022
02005170,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8,,,7,8.25,7.25,,,2022
02005171,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,,,6,4.25,4.5,9,,2022
02005172,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,8,4.75,5.75,,,,3.8,8.25,2022
02005173,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,8,7.75,,,,9.6,8,2022
02005174,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.25,,,7.75,9,8.25,9,,2022
02005175,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,,,7,9.25,8,8.8,,2022
02005176,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7,,,8.25,8,7.5,9.2,,2022
02005177,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,3.75,,,6.5,6,4.5,7.8,,2022
02005178,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6,,,6.25,8.5,8.5,,,2022
02005179,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8,,,8.5,7.25,8,9.4,,2022
02005180,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,7.25,8.25,6,,,2022
02005181,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7,7.25,7.75,,,,9.2,8,2022
02005182,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.25,,,6.5,5.5,6.25,9.2,,2022
02005183,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6,,,5.75,5.75,4.25,8.8,,2022
02005184,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.6,5.25,4.25,5,,,,5.2,7.25,2022
02005185,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.75,,,7.25,6.5,8,9.4,,2022
02005186,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,8.75,,,5,8.25,6.25,9.2,,2022
02005187,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,6.25,6.5,,,,8.8,9.25,2022
02005188,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8,9.5,9,,,,9,9.25,2022
02005189,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.6,5,4.5,5.25,,,,4,7.5,2022
02005190,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5,,,8,7.75,8.25,9.8,,2022
02005191,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.25,8.25,6,,,,6.2,8.5,2022
02005192,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7,,,2.75,4,3.75,4.4,,2022
02005193,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,6,7.25,6.25,9.4,,2022
02005194,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,7.75,,,7.75,8,6.5,7.8,,2022
02005195,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,7.25,6.5,7,9,,2022
02005196,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6,,,8,6.5,5.5,9.8,,2022
02005198,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.5,6,6.5,,,,7.6,8.5,2022
02005199,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,8.75,8.5,,,,9.6,8.25,2022
02005200,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.6,6.25,,,8.25,9.75,7,8.2,,2022
02005201,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,6.5,7.25,7.5,8.2,,2022
02005202,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.25,8.25,7.5,,,,8.6,9.25,2022
02005203,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,6.75,,,6.25,8.25,5.75,,,2022
02005204,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,8.25,7.75,7.75,8.4,,2022
02005205,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,,,6.75,6,7.25,9.2,,2022
02005206,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,6.5,,,3.5,5.25,4.75,9.6,,2022
02005207,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.75,,,6.5,8.5,7,8,,2022
02005208,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8,,,7.25,9.25,8,9.6,,2022
02005209,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.25,8.25,7,,,,8.8,8.75,2022
02005210,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.25,,,6.25,8,8.25,,,2022
02005211,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6,,,5.75,6.25,4.5,8.8,,2022
02005212,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.5,,,7.5,8.25,8,8.8,,2022
02005213,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,7.25,8,7.75,,,2022
02005214,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.25,,,7.75,6,5.5,8.2,,2022
02005215,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,7.5,9.25,9,,,2022
02005216,Sở GD&ĐT Thành Phố Hồ Chí Minh,4,6.25,6.25,5.75,,,,5.4,8.25,2022
02005217,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.25,,,8.25,7,7.5,9,,2022
02005218,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,6.5,,,5.5,4.75,3.5,9,,2022
02005219,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,6.5,,,8,9.25,5,8.8,,2022
02005220,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,5.25,4.75,6.5,,,,6.4,8.25,2022
02005221,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,,,5.75,4.75,6.75,,,2022
02005222,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,7.5,8.75,6.5,9.4,,2022
02005223,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6,,,7.75,8.25,7.75,8,,2022
02005224,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,5.25,,,8.5,10,6.25,7.6,,2022
02005225,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8,,,9.25,8.25,7.75,9.4,,2022
02005226,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,5.5,,,5,6,4,5.6,,2022
02005227,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.6,7.25,,,9,9.75,9.5,8.8,,2022
02005228,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,5.75,,,7,6,7,9.8,,2022
02005229,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,8.75,7,,,,8.4,8.25,2022
02005230,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,5.75,,,5.75,5,2.5,5.2,,2022
02005231,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.25,,,7.5,9.25,8.5,8.8,,2022
02005232,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,5.25,,,7.25,8.25,4,7.8,,2022
02005233,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,7.25,,,9.75,9.25,8,,,2022
02005234,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,5.75,,,6.5,8.75,8.5,,,2022
02005235,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,4.5,,,7.75,5.25,5.75,9,,2022
02005236,Sở GD&ĐT Thành Phố Hồ Chí Minh,5,5,,,4.5,6,2.75,5.6,,2022
02005237,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,9,7.5,8.25,,,2022
02005238,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,5,,,4.5,4.5,4.25,5.8,,2022
02005239,Sở GD&ĐT Thành Phố Hồ Chí Minh,4,5.25,,,5,4.25,4.5,5.8,,2022
02005240,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.4,6.25,,,5,9,8,,,2022
02005241,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,7.5,7.5,7,,,,5.6,8.5,2022
02005242,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.4,6.5,,,8.25,7,5.5,8.6,,2022
02005243,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,8.25,7.25,6.25,6.4,,2022
02005244,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,,,8.25,4.75,4.25,8.6,,2022
02005245,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,,,7.75,7.5,7,9,,2022
02005246,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.5,7,5.75,,,,6.2,8.25,2022
